时间,币对,交易所,价格,方向,金额
2025-10-15 22:21:58,EUL,BA,8.81700000,多头爆仓,104.92
2025-10-15 22:22:03,COAI,BA,18.55641660,多头爆仓,445.35
2025-10-15 22:22:05,RECALL,BA,0.73790000,空头爆仓,28.78
2025-10-15 22:22:06,COAI,BA,18.53943050,多头爆仓,1334.84
2025-10-15 22:22:08,COAI,BA,18.52500000,多头爆仓,148.20
2025-10-15 22:22:10,RECALL,BA,0.73885000,空头爆仓,252.69
2025-10-15 22:22:14,ASTER,BA,1.43635410,多头爆仓,1083.01
2025-10-15 22:22:17,TAO,BA,438.16000000,多头爆仓,210.32
2025-10-15 22:22:17,DAM,BA,0.04349140,多头爆仓,96.42
2025-10-15 22:22:18,COAI,BA,18.49441800,多头爆仓,2256.32
2025-10-15 22:22:18,RECALL,BA,0.74300580,空头爆仓,1107.82
2025-10-15 22:22:23,DASH,BA,49.82000000,空头爆仓,2786.93
2025-10-15 22:22:25,WLFI,BA,0.14110000,多头爆仓,612.66
2025-10-15 22:22:27,RECALL,BA,0.73262690,多头爆仓,695.26
2025-10-15 22:22:27,BARD,BA,0.70207970,多头爆仓,4965.11
2025-10-15 22:22:29,CLO,BA,0.66817000,空头爆仓,76.17
2025-10-15 22:22:30,CLO,BA,0.66941080,空头爆仓,4685.88
2025-10-15 22:22:33,CLO,BA,0.66899360,空头爆仓,185.98
2025-10-15 22:22:35,COAI,BA,18.52900000,多头爆仓,18.53
2025-10-15 22:22:36,DEGO,BA,1.28958780,空头爆仓,50.04
2025-10-15 22:22:37,CLO,BA,0.66960000,空头爆仓,100.44
